caseid,wsiter,amt1,cpt1,dept1,jelt1,subt1,a01,a08,am01,am02,am03,am04,am05,am06,am07,am08,am09,con12,con13,con14,con15,con17,con01,con03,con05,con09,cp10,cp11,cp12,cp13,cp15,cp02,cp07,cp08,dom01,dom02,dom03,dom04,dom05,dom06,dom07,dom08,dom09
1,613,27,12.368822510203,27,15.4439305319622,13.0171944506828,0,3,1,2,1,3,2,3,3,4,1,4,1.854955868305,4,4,2.10693185364164,1,2.22607799592908,1,1,1.73848302582621,1.63033937427147,3,1,1,3,1,1,2.33437283143405,2.50067436998983,3.01190383797427,2,1,1,1,1,1
2,613,25.3187139235166,13.9021897645316,18,21.7953427892679,13.7012844306627,0,3,2.82944702941011,2.64292299333594,2.46566300361141,3.12660889300173,1.96904160307495,3.10833016785522,2.61405917263359,2.81627816328826,2.38418557997546,2.03095238046383,3,3,2.52884126938133,2.36050692610276,2.27212033237121,2.17855667856748,2.29358008830014,2.31355503502559,1.39248521372328,2.17136519888414,3.27100121875941,1,2.5637606287262,1,2.25172818228652,1.79385175082971,1.79409098023582,3,4,3,1.84629245350224,2.50659339531423,2.46248155535679,2.2974380127249,2
3,613,27.4237513228276,13.7006553782759,10,18.4018030619831,13.2679483921827,0,3,3.22765935961262,2.79332147626278,1.99347918081236,3.12109006059198,1.59564899204513,3.13960369593753,2.70348419838494,3.08315558774313,2.05538496867621,1.46150811207931,1.70828540362079,1.80881024372788,1.88510453865427,1.72344194738262,1.76829870289336,1.64587204240885,1.54634715554007,1.66381299519058,1.31968903563349,1.69761854638452,3.46467978276194,1.39238887127984,2.33952437485382,1.7755107356507,2.11286688729016,1.52773670786556,1.36932126972196,3.54074726702397,3.73026051052458,2.40396931719956,1.46988875693783,2.54264198511327,2.16404113392907,1.69073453452698,1.32876478071691
4,613,28.8678725891211,13,10,16.5089654213264,8,0,1,3,3,2,3,1,4,2.86794605868424,3,2,1,1,1,1,1,2,2,1,1,2,1,4,2,2,1,2,2,1,4,4,2,2,2,2,1,1
5,613,30,11,12,22,8,0,2,3,3,1,3,1,3,3,3,1,2,3,2,3,2,3,2,1,2,1,2,4,1,1,1,2,2,1,3,4,2,2,2,2,1,1
6,613,30,13,11,17,8,0,1,4,3,2,3,2,4,3,4,2,1,2,2,2,1,1,1,1,2,1,2,4,1,3,2,2,1,1,4,4,3,2,2,3,2,1
7,613,30,11,8,21,9,0,1,3,4,2,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,4,1,2,2,1,1,1,4,4,2,1,3,2,2,1
8,613,30,10,8,19,8,0,1,3,2,2,4,1,4,3,4,2,2,2,1,1,1,1,1,1,1,1,1,4,1,2,1,2,1,1,4,4,3,1,2,2,1,1
9,613,26.3136651655384,14.4760176748821,16,19.6966896549737,9,0,3,2.97065436034373,2.7035840929255,2.19513160222712,3.0701922351374,1.74954842660551,3.0788031504429,2.61854375885392,3.00678257261786,2.19020184402879,1.64959777443334,1.86564354594181,1.99920327630338,2.0468672439973,1.90270742207421,1.90021265447442,1.87915394711191,1.8113068634312,1.88315357076675,1.40969109482156,1.87317976855035,3.36959769152483,1.46036012123909,2.44424965093873,1.82414756876875,2.14671503681699,1.6872721159652,1.5436977135144,3.29191983066813,3.54068453083257,2.40897238164721,1.49413778983659,2.35127221464277,2.20940894837581,1.8412771476939,1.35400083777343
10,613,27,14,10,22,8,0,2,4,3,1,2,2,4,1,3,2,2,1,1,2,2,2,2,1,1,1,1,3,2,2,1,2,3,2,3,4,2,1,2,1,1,2
11,613,25,16,13,19,8,0,1,3,3,3,3,2,3,2,3,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,3,3,4,2,2,3,2,2
12,613,24,12,18,22,8,0,1,3,3,3,3,1,3,2,3,4,1,1,2,1,1,2,1,1,1,1,1,4,1,3,1,2,2,2,4,4,2,2,3,2,1,1
13,613,27,16,13,21,8,0,2,3,3,2,3,2,3,3,3,2,2,2,2,2,1,1,2,2,2,1,2,3,2,3,2,2,2,2,3,3,2,2,2,2,1,1
14,613,27.9499226771633,10.5419572687898,12.5204545721706,15.3625302102295,12.2191466978674,0,1,4,4,3,2,1,2,3,3,1.05014663209603,1,1.51195955601964,3,1,1.29916907460929,1.3462499561826,1.1800512845166,.809711045967296,1,2,1.16948680986542,3.17397903352903,1.22515383506635,1,1.32129564167536,1,1,1,4,4,3,1,1,1,1.23040753739583,.983676165494265
15,613,27.562493598632,13.2012941942713,12,18.6104092655245,8,0,3,3.17760252997502,2.81557760280264,1.96888555543046,3.12121727389503,1.57297215773737,3.16346513531848,2.72881335487915,3.10791194546182,2.01019786960779,1.4177468890584,1.68231786536685,1.81411120432467,1.84444026875672,1.678903250566,1.72517848629491,1.65643986678028,1.5670984484516,1.66544713161267,1.26455749256399,1.6667876984849,3.50384253586596,1.27755980168384,2.33352094186009,1.64225306495207,2.01359448908029,1.50686323384191,1.37004650789512,3.47918124338071,3.69816840792865,2.37176680161328,1.38632756291825,2.36967140239159,2.16712213296843,1.66732852436115,1.23404910815957
16,613,27.7245913041945,12.9804613456084,16,18.7807541958185,9,0,3,3.07144605306739,2.8558041128797,1.94126124646998,3.03908153172186,1.54669770880575,3.07055367878614,3,3.09629120582534,1.92062581461549,1.50373324536087,1.62969129205317,1.79490357904975,1.78189623093881,1.6041895191886,1,1.61937945890556,1.53615410035835,1.65276079640051,1.34669786780077,1.66855724773874,3.42323777654189,1.30926955404526,2,1.612245222661,1.88316250632467,1.58376670951932,1.48058199151304,3.36777285181551,3.56326021867699,2.34334420461287,1.40983350613311,2.3340918783431,2.1496993333038,1.67831288603865,1.24466734513921
17,613,28,13,18,16,9,0,2,3,3,3,3,1,3,4,3,2,2,2,1,2,2,2,3,2,2,1,2,4,1,2,2,2,2,1,4,4,1,2,2,1,1,1
18,613,21,22,28,18.5193231693695,8,0,2,2,1,3,4,3,4,2,3,4,2,4,3,1,1,1,4,2.34194466008251,1,3,3,4,4,4,2,2,3,3,1,3,1,1,1,1,1,1
19,613,26,15,8,14,9,0,2,3,3,2,3,1,3,1,2,1,2,1,1,2,3,3,3,3,2,1,3,3,1,1,1,2,4,1,3,2,2,2,2,1,1,1
20,613,30,15,11,15,8,1,2,3,3,1,3,2,4,3,4,2,3,3,1,3,2,3,2,2,3,1,2,3,2,2,2,2,2,2,3,4,2,3,2,3,2,2
21,613,31.1124731175398,11,17,15.0953407584739,8,1,2,4,3.36038594204287,1,2.78957114896147,1,3,2.96260221364465,3,1,2,2,1,1.37074150590301,1,1,2,1,1,1,2,4,2,1,1,1,2,1,3.40541840950412,3,2.11526152722683,1,2,2,1,1
22,613,27,10,13,18,9,0,1,3,3,2,3,2,3,3,3,2,1,1,1,2,1,2,1,1,1,1,2,4,1,2,1,1,1,1,4,4,2,2,2,2,1,2
23,613,16,17,14,24,9,0,1,1,1,4,3,2,3,2,1,4,2,3,3,2,1,4,2,2,3,1,2,3,1,3,3,3,2,1,3,4,2,2,3,2,1,1
24,613,29,11,8,18,8,0,1,3,3,2,3,2,4,3,4,2,1,1,1,1,1,3,2,1,2,1,1,4,1,2,2,2,1,1,3,4,3,2,2,3,2,1
25,613,25,16,15,13,8,0,2,3,2,2,3,2,3,2,3,2,2,3,3,2,2,1,1,1,2,3,3,4,1,2,1,3,2,1,3,3,2,1,2,3,1,1
26,613,27,13,13,27,8,0,1,3,4,3,4,3,4,3,3,3,1,1,1,1,1,4,3,1,1,1,2,4,1,3,1,3,1,1,3,4,4,1,3,3,1,1
27,613,28,14,16,21,10,0,2,3,3,2,3,1,3,3,3,2,2,3,3,2,2,2,4,2,3,1,2,3,2,2,1,2,2,1,3,3,2,1,2,2,2,1
28,613,26,10,12,22,8,0,2,1,3,1,2,1,3,3,3,2,1,2,1,1,1,1,2,2,1,1,1,3,1,2,1,1,1,1,3,4,2,2,2,3,2,1
29,613,22.9323064561511,16,15,19,9,0,2,3,2,3,4,3,4,1.93230086411578,2,3,1,1,2,3,2,1,3,1,1,1,3,4,2,1,4,3,1,3,2,3,2,2,3,2,1,1
30,613,23,20,14,24,8,0,1,3,2,3,3,2,3,2,3,3,2,3,2,4,1,2,3,2,3,3,2,3,1,3,4,4,1,1,3,3,3,2,3,3,2,2
31,613,29,10,12,20,8,0,2,4,3,2,3,1,3,2,3,1,1,1,2,3,1,1,1,1,1,1,1,4,1,2,2,1,1,1,4,4,2,1,2,2,1,1
32,613,27,16,14,17,8,0,1,3,2,1,3,1,3,3,3,3,2,3,2,3,1,1,2,1,1,1,2,4,2,3,4,2,1,1,3,4,2,2,2,3,3,2
33,613,23,18,17,19,9,0,2,2,2,2,3,3,3,3,3,3,2,2.47533911129661,3,3,3,3,2,2,3,2,2,3,2,3,3,2,2,4,2,2,2,2,3,2,2,2
34,613,26,17,15,22,9,1,2,3,3,2,3,2,3,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,1,3,2,2,3,3,2,1,2,2,1,2
35,613,25,13,16,14,8,0,2,4,2,1,2,2,2,3,2,2,1,1,1,2,1,1,2,2,2,1,1,2,1,3,1,2,1,1,3,3,2,2,1,2,2,1
36,613,26.1668453926878,14.5483538209188,17,19.8957612727127,8,0,3,2.93049362972522,2.69254427596979,2.2218478727295,3.06299248595626,1.76964473862499,3.07198253634631,2.6084140926938,2.99782341726747,2.20590535673465,1.6729540259262,1.8859827176847,2.0265689919393,2.0667269726057,1.92475542613794,1.9156601550957,1.91298994864633,1.85039428673712,1.91434421434494,1.41830036944124,1.89573217187701,3.35907005495511,1.46136726714354,2.45863251808968,1.82103266129593,2.144056773127,1.70830210414997,1.56845128836625,3.25205337000185,3.51142327318828,2.40726351309472,1.49129935804392,2.3111808144283,2.21606626026448,1.86084324998971,1.35046481875469
37,613,22,16,13,21,8,0,2,3,2,3,3,2,3,2,2,3,2,3,3,2,3,4,3,2,4,2,3,3,2,2,1,3,1,1,4,4,3,2,3,3,2,2
38,613,26,15,14,28,9,0,1,3,4,2,3,2,3,2,3,3,2,4,4,2,4,1,3,3,3,1,3,4,1,3,3,1,2,2,3,4,4,2,3,4,4,1
39,613,25,13,10,16,8,0,2,3,2,3,3,2,3,3,3,2,2,2,1,3,1,1,2,2,2,1,3,3,1,1,1,3,1,1,4,4,3,1,2,2,2,1
40,613,27.2833639574431,13.4707061196008,13,18.8674796669622,8,1,3,3.12818074992506,2.79097093743607,2.01947801889027,3.10957231630728,1.61230667391489,3.14516861552404,2.70473350244208,3.08589423982295,2.04933936703317,1.46878831643196,1.72305083583042,1.8566027618476,1.88889760952651,1.72807368568039,1.76327482005507,1.70774988315349,1.6237576161087,1.71522654815912,1.29530606793944,1.71257659316332,3.47488803968379,1.31432129477578,2.35854325710601,1.67800898422084,2.03968694588963,1.54715100790352,1.40972746398935,3.43375566870494,3.66081938098058,2.37886614390957,1.40732192194338,2.35797328479893,2.17691095842764,1.70603146948686,1.25733225027859
41,613,27.6818625150291,17,15,19,8,0,1,3,3,2,3,1,3,2.68192790737624,3,2,2,2,1,3,2,2,2,2,2,1,2,3,1,2,3,3,3,1,3,3,2,1,2,3,2,2
42,613,33,11,8,11,8,1,1,4,3,1,4,1,4,3,3,1,1,1,1,1,2,2,1,1,1,1,1,4,1,2,2,1,2,1,4,4,1,1,1,1,1,1
43,613,25,14,16,22,8,0,1,3,3,1,3,2,2,2,3,3,2,2,2,1,3,1,2,2,2,1,2,3,1,3,1,2,2,1,3,4,2,1,2,2,2,2
44,613,27,18,18,22,8,0,1,3,4,2,3,2,3,2,3,2,2,4,3,2,2,2,2,2,2,2,2,3,2,3,3,2,2,1,4,4,4,1,2,3,2,1
45,613,34,9,8,10,8,0,2,4,4,3,4,1,4,4,4,1,1,1,1,3,1,3,1,1,1,1,1,4,1,1,1,2,1,1,4,4,2,1,2,1,1,1
46,613,26,19,14,20,8,0,1,3,3,2,3,2,3,3,3,3,2,3,1,3,1,2,2,3,2,2,2,4,2,3,3,3,3,1,4,4,2,2,3,2,1,2
47,613,32,13,9,13,8,0,1,4,4,3,4,2,4,3,4,1,1,1,1,3,2,2,2,3,3,1,2,4,1,2,3,2,1,2,3,3,2,2,3,2,1,2
48,613,24,19,16,23,8,1,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,3,3,2,3,3,3,2,3,3,2,2,2,2,2,2
49,613,27,16,16,21,8,0,2,3,3,2,3,2,3,3,3,2,3,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,3,2,2
50,613,25.3294564691213,15.3565895969073,20,20.6669724770256,8,0,3,2.78222828957534,2.61872427987008,2.37362526310892,3.028057613193,1.88764828715757,3.01709297696302,2.5361745353826,2.93177030035085,2.32332984901077,1.82607830804688,2.00818162907541,2.15404366450808,2.2000989949151,2.0722667314811,2.02994915637617,2.06691999776596,2.02037178970843,2.0636824639843,1.51054609556759,2.03309885591228,3.2722065664086,1.57165174641937,2.53369946382744,1.92830041910224,2.22233414355503,1.82916542633481,1.68749415664892,3.11577664597453,3.39937619234406,2.42856153998358,1.55428243511933,2.27608646165032,2.2454327366421,1.97695208536685,1.42031424511176
51,613,27,19,16,17,8,0,1,3,3,1,3,1,3,2,3,3,2,2,1,2,2,2,3,3,2,1,2,3,3,3,2,3,3,1,4,4,2,1,2,2,2,2
52,613,25,10,12,25,8,0,1,3,3,2,3,2,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,4,4,3,1,1,3,2,1
53,613,24,14,14,18,13,0,1,3,2,2,3,2,2,2,3,2,2,1,2,3,1,1,2,2,1,1,2,3,1,2,2,2,2,1,3,4,2,1,3,3,2,1
54,613,27,16,10,17,11,0,1,3,3,2,3,2,3,3,3,2,2,2,1,2,2,2,2,1,1,1,1,3,2,3,2,2,3,1,3,3,3,2,2,3,1,1
55,613,26,11,13,23,11,0,1,3,3,2,3,2,3,3,3,3,2,2,2,1,2,2,2,2,1,2,2,4,1,1,1,2,1,1,3,4,3,2,2,3,2,2
56,613,28,13,9,17,11,0,1,3,3,1,3,1,3,3,2,2,2,2,2,2,2,2,3,1,1,1,1,3,1,2,2,2,2,1,4,4,2,2,3,2,2,2
57,613,26,17,16,19,17,0,2,3,3,2,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,3,2,2,3,3,2,2
58,613,26,18,14,18,13,0,2,3,3,2,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,3,3,2,2,3,2,2,2,3,2,2,2,3,2,2
59,613,26,17,20,24,11,0,1,3,3,3,3,2,3,3,3,2,2,2,2,3,2,3,2,2,2,1,2,3,4,2,2,2,2,2,3,3,3,2,2,3,2,2
60,613,23.551388562675,17.4196161946892,24,21.9852480012694,13,0,3,2.53823592221826,2.45246337634948,2.69537608173529,2.9592517408089,2.14117737265785,2.88652736929605,2.37010419424953,2.77840672635298,2.59708576230982,2.16866989694463,2.27308250453306,2.39963910403481,2.50091641880126,2.40456062719193,2.29557865711119,2.35953013745277,2.33486718209278,2.35574399501142,1.74423690084823,2.33243689138477,3.0642542836177,1.89746945472459,2.68698596528593,2.26567822988527,2.47045757328906,2.08660545196544,1.92085488723771,2.90627877722396,3.20954123803285,2.50099996341265,1.75742382530887,2.37126040438875,2.30024560633168,2.22744808001922,1.6475426192767
61,613,28,12,16,18,12,0,2,3,3,2,3,2,3,3,3,1,2,1.44865010318025,2,2,1,1,2,1,2,2,1,3,1,2,1,1,2,1,3,3,2,2,1,2,1,1
62,613,28,13,14,21,12,0,1,4,3,3,3,1,3,2,3,1,2,1,1,1,1,1,2,1,1,1,1,3,1,2,2,3,1,1,4,4,2,2,2,3,2,1
63,613,25,20,18,28,12,0,2,2,3,4,4,2,4,2,3,2,2,4,1,4,3,4,4,3,2,2,3,3,2,3,2,4,2,4,4,4,3,1,2,2,2,1
64,613,26,16,17,25,13,0,2,3,3,3,3,2,3,3,4,3,1,2,1,1,3,1,1,1,1,2,2,4,1,3,3,2,2,1,4,4,3,1,1,2,2,1
65,613,28.5308870077953,13,11,18,11,1,1,3,3,1,3,1.46910579429724,3,3,3,2,1.42786979277777,1,1,1,1,2,2,2,1,1,1,3,2,2,2,1,2,1,4,4,3,2,1,3,2,1
66,613,30,14,14,17.5560358626328,12,0,1,4,3,2,3,1,3,3,3,1,2,1,1,2,1,1,1,1,1,2,1,3,2,2,2,1,2,1,4,4,2,2,2,2,2,1
67,613,28.3893074486183,11.9229408633468,12.0476269951251,17.5404423066966,13.7890327773844,0,1,3,3,2,3,1,3,3,3.19246600069184,1.80319082082263,1,1.43630605350423,1,2,1.2579925947887,1.51652451440308,1.24465660595098,1.1624754411975,1,1,1.47461884853222,3.52524415437396,1.27221983880768,2,1.70134633305103,1,2,1,4,4,2,2,4,2.04094148212619,1.62511662227829,1.3917402414523
68,613,27,14,13,21,15,1,2,3,3,2,3,1,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,1,1,3,4,2,2,2,2,2,3
69,613,28,11,14,12,11,0,1,3,4,3,3,1,3,3,3,2,2,1,1,2,2,1,1,4,2,1,1,4,1,2,2,2,1,1,4,4,2,2,2,3,1,2
70,613,29,14,12,16,13,0,2,4,2,1,4,2,3,2,4,2,1,1,3,1,4,1,2,1,2,1,1,3,1,3,2,3,1,2,4,4,2,1,2,2,1,1
71,613,25,16,13,21,12,0,2,3,3,2,3,1,3,3,2,4,2,2,2,3,2,1,2,2,2,2,2,3,2,2,2,2,2,2,4,3,2,2,2,2,2,2
72,613,25,20,24,19,13,0,2,3,3,3,3,2,3,2,3,2,2,2,3,2,3,2,3,2,2,2,2,2,2,3,3,3,2,2,2,3,3,2,2,2,2,2
73,613,27,16,16,17,14,0,2,3,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,4,2,2,2,2,2,2
74,613,23,11,13,21,11,0,1,2,2,3,1,2,4,3,2,1,1,1,1,2,1,1,1,1,2,1,1,4,1,1,1,3,2,1,3,4,4,1.43691481275369,2,2,2,1
75,613,25,18,16,17,17,0,2,3,3,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,3,3,3,2,2,2,2,2
76,613,28,12,14,20,12,0,1,3,3,2,3,1,3,3,3,2,1,3,2,2,2,2,3,3,2,1,1,3,1,2,1,2,2,1,3,4,2,1,2,2,2,1
77,613,27,14,16,14,10,0,2,3,3,2,3,1,3,3,3,3,2,1,2,2,2,2,1,2,3,1,1,3,2,2,3,2,1,3,3,4,2,1,1,2,1,1
78,613,25,13,16,16,10,0,1,3,2,3,3,2,3,3,3,2,2,1,2,2,2,2,2,2,2,1,1,3,1,2,2,2,2,1,3,3,2,1,1,2,1,1
79,613,24,16,19,17,10,0,2,3,2,2,2,2,2,2,3,1,2,2,2,2,1,1,2,1,2,3,2,2,1,2,1,2,2,2,2,3,2,2,1,2,1,1
80,613,23,13,15,25,11,0,1,2,2,2,3,2,3,2,2,2,2,1,4,2,2,2,1,1,2,1,2,3,2,1,1,2,2,2,3,4,4,2,2,3,2,2
81,613,29,11,30,16,15,0,1,4,3,2,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,4,4,1,2,2,2,1,1
82,613,28,15,12,19,13,0,1,4,3,2,3,2,3,3,4,3,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,4,4,2,1,2,2,2,1
83,613,26,16,10,16,13,0,2,4,3,2,3,2,3,3,3,4,2,2,1,3,2,3,1,1,2,2,2,3,2,2,2,2,2,1,3,4,2,1,1,2,1,1
84,613,22,16,12,18,13,0,1,2,1,1,2,1,3,2,3,4,1,3,1,2,1,3,1,3,3,1,2,4,1,3,4,3,1,1,3,4,2,4,3,2,2,2
85,613,25,19,19,17,17,0,1,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,2,3,3,2,2,3,3,2,2,3,3,2,4,3,3,2,3,2,2,2
86,613,24,15,15,17,15,0,1,3,3,3,3,3,3,3,3,3,1,2,2,3,1,2,2,1,1,2,2,3,1,3,1,2,2,2,3,4,3,1,2,2,1,1
87,613,33,8,10,15,11,0,2,4,4,1,4,1,3,3,4,2,1,2,3,1,3,4,3,4,3,1,1,4,1,1,1,1,1,2,4,4,4,1,2,4,2,1
88,613,27,17,14,18,11,0,2,3,2,1,3,2,3,3,2,1,3,3,2,2,2,1,3,2,1,2,2,3,2,2,2,3,2,1,3,4,3,2,3,2,1,2
89,613,25,16,15,19,17,0,1,3,2,3,3,1,3,3,2,2,2,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,1,3,4,3,2,2,3,2,2
90,613,28,12,14,19,11,0,1,3,2,2,3,1,3,3,4,2,2,2,1,2,2,1,2,2,2,1,2,4,1,2,1,2,2,1,3,4,2,2,3,3,2,2
91,613,29,10,12.407666930265,18,10,0,1,4,3,2,3,1,4,3,3,3,1,1,2,3,1,1,1,1,3,1,1,4,1,2,2,1,1,2,2,3,4,2,3,3,2,1
92,613,28,13,10,15,12,0,1,3,4,2,3,2,3,3,3,2,2,2,2,2,3,2,2,1,1,1,2,3,1,2,2,2,1,1,4,4,2,1,2,2,2,1
93,613,27,15,16,17,13,0,1,3,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,4,4,3,2,2,2,2,2
94,613,26,18,16,18,12,1,1,3,2,2,3,2,3,3,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2
95,613,27,13,15,19,11,0,1,3,3,2,3,2,3,3,3,2,1,1,1,2,1,2,2,1,1,1,2,4,1,2,2,2,2,1,4,4,2,1,2,3,1,1
96,613,21,20,15,21,19,0,1,2,1,2,2,2,3,2,2,2,3,2,2,2,3,3,3,2,2,1,2,2,3,3,3,3,2,2,1,3,2,2,2,2,3,2
97,613,26,16,14,23,14,0,2,3,2,2,3,1,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,1,2,2,2,1
98,613,22,20,26,31,22,0,2,3,2,3,3,2,3,3,1,3,3,3,3,3,2,2,2,2,3,3,4,3,1,3,3,3,1,3,4,3,3,2,3,3,3,2
99,613,26,14,15,30,15,0,2,3,3,2,3,2,3,3,3,3,2,1,1,2,2,1,2,2,2,1,2,3,2,2,1,2,2,2,3,4,3,2,2,2,2,1
100,613,29,13,13,18,17,1,1,3,4,1,3,2,3,3,3,2,3,2,1,3,1,2,1,2,2,1,2,3,1,2,3,1,1,3,4,4,2,1,2,2,2,2
101,613,27,14,11,23,14,0,2,3,3,3,3,1,3,3,3,2,2,3,2,2,3,3,2,1,1,1,2,3,1,2,2,2,2,2,2,4,2,2,4,2,2,1
102,613,27,12,13,22,16,0,2,4,4,3,3,2,3,1,3,1,1,1,1,2,4,3,1,1,1,1,2,4,1,2,1,2,2,2,3,3,3,1,1,3,3,1
103,613,29,9,15,17,15,0,1,3,3,2,4,2,4,3,2,1,1,1,2,2,1,1,1,1,1,1,2,4,1,1,1,1,1,1,4,3,3,1.36903796538173,2,2,2,1
104,613,21,17,18,15,17,0,1,3,1,3,4,2,3,2,2,4,2,3,2,3,3,3,3,3,3,1,3,3,1,2,3,3,2,2,3,3,2,2,3,2,2,2
105,613,30,13,10,25,18,1,1,4,3,3,4,1,4,3,4,3,1,3,1,1,1,1,1,1,1,1,2,4,1,1,4,2,1,1,4,4,3,2,4,2,2,2
106,613,21,17,14,17,15,0,1,2,2,3,3,2,3,2,2,3,2,3,2,2,2,3,2,2,2,2,2,3,2,3,2,3,1,2,3,3,3,2,2,3,2,2
107,613,26,10,19,28,14,0,1,3,2,3,4,1,3,2,3,2,1,1,1,1,2,1,1,2,1,1,1,4,1,1,2,2,1,1,4,4,4,1,2,4,3,1
108,613,22,15,17,26,18,0,1,2,2,2,3,2,3,2,2,3,2,2,2,2,2,4,3,3,3,1,2,3,1,2,2,3,2,1,3,4,3,2,1,3,3,2
109,613,32,11,12,17.8481347780664,18,0,1,4,3,3,4,1,4,4,4,2,1,1,1,1,1,1,1,3,2,1,1,4,1,1,1,4,1,1,4,4,4,1,1,2,1,1
110,613,25,13,10,21,14,0,2,3,2,2,3,1,3,2,3,3,2,1,2,2,2,1,2,1,2,1,2,3,1,2,1,2,2,2,3,3,2,2,3,1,1,2
111,613,23,15,19,24,16,0,1,3,2,3,3,2,3,2,3,3,2,1,2,2,2,3,2,2,2,1,2,3,1,2,3,2,2,1,3,4,3,1,3,3,2,2
112,613,27,16,16,18,20,1,2,3,3,2,3,2,3,3,3,2,2,2.04429104954256,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,4,4,2,2,2,2,2,2
113,613,21.1037656605084,19.5770326948833,16.6621397502957,19.9243632768657,16.8831643524333,1,1,2,1,1,3,2,3,1,2,2.89644993505561,2,2.24839611752972,2,3,2.49890575209059,2.16839073796102,2.13130260035388,2.45871245435806,3,3,2.41646048025779,2.82882632892406,2.23741370502962,4,2.75198482426632,1,2,1,3,4,2,4,3,1,2.35664028635264,2.54665758116389
114,613,25,21,24,18,17,0,2,3,4,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,2,3,1,2,3,2,3,2,4,3,2,3,2,2,1,2,2,2
115,613,24,18,15,21,14,0,1,3,2,2,2,3,3,3,3,2,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,2,2,2,2,3,2,2,3,2,2,2
116,613,25,14,15,21,14,0,1,3,3,3,3,2,3,2,3,2,2,3,2,2,2,3,2,2,2,1,2,3,2,2,2,2,1,1,4,4,2,1,2,2,2,2
117,613,25,17,14,21,15,0,1,3,3,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,3,2,3,3,2,2,1,4,4,3,2,2,2,2,2
118,613,23,14,14,20,17,0,1,2,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,3,2,1,2,2,2,1,3,4,3,2,2,2,2,1
119,613,24,17,11,24,16,0,1,3,2,3,3,2,4,2,3,3,1,3,4,2,2,3,1,3,3,2,2,3,1,3,3,3,1,2,3,3,2,2,4,3,3,2
120,613,27,14,14,20,16,0,1,3,3,2,3,2,3,3,3,2,1,1,1,2,1,2,1,2,2,1,1,3,2,2,1,3,2,1,3,4,2,2,2,2,2,2
121,613,26,16,10,18,20,0,2,3,3,3,3,1,3,2,3,2,2,1,2,3,2,2,2,1,1,1,2,3,1,3,2,3,2,2,4,4,2,1,2,2,2,1
122,613,24,17,16,22,18,0,1,3,2,3,3,2,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,1,4,3,2,2,2,2,2,2
123,613,24,11,12,22,17,0,2,2,2,3,3,2,3,3,3,2,1,2,2,2,2,2,2,1,2,1,3,4,1,1,1,2,1,2,3,3,3,2,3,3,3,2
124,613,21,19,25,21,18,0,2,3,2,3,3,3,3,1,3,3,3,3,2,3,2,1,4,3,3,2,2,2,3,3,1,3,2,2,3,3,2,2,2,3,2,2
125,613,27,19,18,17,19,0,2,3,2,1,3,2,3,3,3,2,1,2,3,3,3,2,3,3,4,2,2,4,2,4,3,3,2,1,3,3,2,3,3,2,2,3
126,613,24,23,18,19.8000128148209,18,0,2,3,3,3,3,2,3,1,3,2,2,2.34158643796375,2,2,4,3,2.64186231623622,2,2,3,2,2,4,3,3,3,2,1,3,3,2,2,2,2,2,2
127,613,25,15,14,24,17,0,2,2,3,3,3,2,3,3,3,2,3,2,2,2,2,1,2,2,2,1,2,3,2,3,1,2,2,2,4,3,3,2,2,3,2,2
128,613,21,13,16,29,20,0,2,2,1,3,4,3,4,2,2,3,2,1,2,3,3,2,4,3,3,1,2,4,1,2,2,3,1,1,4,3,3,2,2,3,3,1
